,summary,price,address,num_rooms,link
1,3 bed property for sale,"£925,000","Barneby Close, Twickenham TW2","['3 beds', '2 baths', '1 reception']",https://www.zoopla.co.uk/for-sale/details/63472568/?search_identifier=4d7389722102d8fdfd4ad88e94643543
2,3 bed flat for sale,"£460,000","Dove Park, Hatch End, Pinner, Greater London HA5","['3 beds', '1 bath', '1 reception']",https://www.zoopla.co.uk/for-sale/details/63472578/?search_identifier=4d7389722102d8fdfd4ad88e94643543
3,1 bed flat for sale,"£489,000","Netherhall Gardens, Hampstead, London NW3","['1 bed', '1 bath', '1 reception', '466 sq. ft']",https://www.zoopla.co.uk/for-sale/details/63472544/?search_identifier=4d7389722102d8fdfd4ad88e94643543
4,2 bed flat for sale,"£350,000","Merlins Court, Rayners Lane, Harrow HA2","['2 beds', '1 bath', '1 reception', '606 sq. ft']",https://www.zoopla.co.uk/for-sale/details/63472545/?search_identifier=4d7389722102d8fdfd4ad88e94643543
5,3 bed town house for sale,"£775,000","Westchester Drive, London NW4","['3 beds', '2 baths', '2 receptions']",https://www.zoopla.co.uk/for-sale/details/63472540/?search_identifier=4d7389722102d8fdfd4ad88e94643543
6,2 bed flat for sale,"£395,000","High Road, Leytonstone E11","['2 beds', '1 bath']",https://www.zoopla.co.uk/for-sale/details/63472542/?search_identifier=4d7389722102d8fdfd4ad88e94643543
7,3 bed end terrace house for sale,"£1,150,000","Broom Park, Teddington TW11","['3 beds', '3 baths', '3 receptions']",https://www.zoopla.co.uk/for-sale/details/62582339/?search_identifier=4d7389722102d8fdfd4ad88e94643543
8,3 bed flat for sale,"£500,000","Clova Road, London E7","['3 beds', '2 baths', '1 reception', '950 sq. ft']",https://www.zoopla.co.uk/new-homes/details/63472524/?search_identifier=4d7389722102d8fdfd4ad88e94643543
9,4 bed property for sale,"£1,750,000","Bayham Street, Camden Town, London NW1","['4 beds', '2 baths', '1 reception', '1,679 sq. ft']",https://www.zoopla.co.uk/for-sale/details/63472501/?search_identifier=4d7389722102d8fdfd4ad88e94643543
10,2 bed terraced house for sale,"£375,000","Coombes Road, Dagenham RM9","['2 beds', '1 bath', '1 reception']",https://www.zoopla.co.uk/for-sale/details/63472478/?search_identifier=4d7389722102d8fdfd4ad88e94643543
